id	DESPC	DESSC	DESWC	DESPL	DESPLd	DESPLw	DESSL	DESSLd	DESWLsy	DESWLsyd	DESWLlt	DESWLltd	WORD_SET_INCIDENCE_WRDPRP1s	WORD_SET_INCIDENCE_WRDPRP1p	WORD_SET_INCIDENCE_WRDPRP2	WORD_SET_INCIDENCE_WRDPRP3s	WORD_SET_INCIDENCE_WRDPRP3p	WORD_SET_INCIDENCE_CNCCaus	WORD_SET_INCIDENCE_CNCLogic	WORD_SET_INCIDENCE_CNCTemp	WORD_SET_INCIDENCE_CNCAdd	WORD_SET_INCIDENCE_CNCPos	WORD_SET_INCIDENCE_CNCNeg	WORD_SET_INCIDENCE_C4_COMMON_WORDS	WORD_PROPERTY_WRDNOUN	WORD_PROPERTY_WRDVERB	WORD_PROPERTY_WRDADJ	WORD_PROPERTY_WRDADV	WORD_PROPERTY_WRDFRQc	WORD_PROPERTY_WRDFRQa	WORD_PROPERTY_WRDFRQmc	WORD_PROPERTY_WRDAOAc	WORD_PROPERTY_WRDFAMc	WORD_PROPERTY_WRDCNCc	WORD_PROPERTY_WRDIMGc	WORD_PROPERTY_WRDMEAc	WORD_PROPERTY_WRDPOLc	WORD_PROPERTY_WRDHYPn	WORD_PROPERTY_WRDHYPv	WORD_PROPERTY_WRDHYPnv	WORD_PROPERTY_AOA	WORD_PROPERTY_AOA_MAX	WORD_PROPERTY_CONCRETENESS	WORD_PROPERTY_PREVALENCE	WORD_PROPERTY_PREVALENCE_MIN	text_key
0	1.0	4.0	45.0	4.0		45.0	11.25	5.678908345800274	1.4222222222222223	0.7830270194133233	4.533333333333333	2.5009089256799126	0.0	0.0	0.022222222222222223	0.0	0.06666666666666667	0.022222222222222223	0.022222222222222223	0.0	0.06666666666666667	0.06666666666666667	0.022222222222222223	0.08888888888888889	0.17777777777777778	0.2222222222222222	0.06666666666666667	0.044444444444444446	-10.268704061926087	-7.933802933164444	-7.933802933164444	323.0	564.5555555555555	361.6666666666667	402.05555555555554	452.27272727272725	8.391304347826088	5.875	1.2	3.2777777777777777	2.89	2.89	2.6697727272727274	2.2762000000000002	2.2762000000000002	sentence_eng_Latn
0	1.0	5.0	41.0	5.0		41.0	8.2	5.974947698515862	1.0	0.0	5.536585365853658	2.90772729958992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8780487804878049	0.024390243902439025	0.07317073170731707	0.0	-16.043102001324137	-15.907766405743335	-15.907766405743335						0.0									sentence_rus_Cyrl
1	1.0	3.0	14.0	3.0		13.0	4.666666666666667	1.5275252316519465	1.1428571428571428	0.5345224838248488	3.357142857142857	1.3926810257774174	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.07142857142857142	0.0	0.14285714285714285	0.07142857142857142	-7.254628300649999	-6.005072627742857	-6.005072627742857	280.0	602.0	344.5	406.25	383.0	12.25	6.0		6.0			2.3123076923076926	2.321230769230769	2.321230769230769	sentence_eng_Latn
1	1.0	3.0	6.0	3.0		6.0	2.0	1.0	1.0	0.0	4.5	1.51657508881031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.16666666666666666	-17.347139358516667	-17.347139358516667	-17.347139358516667						0.0									sentence_rus_Cyrl
2	1.0	3.0	39.0	3.0		39.0	13.0	4.358898943540674	1.3846153846153846	0.9065662403697469	3.8461538461538463	2.4445262326316506	0.05128205128205128	0.02564102564102564	0.05128205128205128	0.0	0.0	0.0	0.02564102564102564	0.0	0.05128205128205128	0.02564102564102564	0.02564102564102564	0.1282051282051282	0.10256410256410256	0.1794871794871795	0.02564102564102564	0.1282051282051282	-8.56208147722353	-6.559661394510257	-6.559661394510257	348.5	579.0714285714286	325.6363636363636	358.5	424.4	10.117647058823529	5.0	1.5714285714285714	2.6	2.89	2.89	2.4794594594594597	2.2921891891891892	2.2921891891891892	sentence_eng_Latn
2	1.0	3.0	33.0	3.0		33.0	11.0	7.810249675906654	1.0	0.0	5.484848484848484	3.308334287458835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.696969696969697	0.0	0.12121212121212122	0.0	-16.11993360519	-15.642679287834616	-15.642679287834616						0.0									sentence_rus_Cyrl
3	1.0	2.0	31.0	2.0		31.0	15.5	13.435028842544403	1.2580645161290323	0.6307530914435469	3.7096774193548385	1.8109582801580821	0.0	0.0	0.03225806451612903	0.0	0.0	0.03225806451612903	0.03225806451612903	0.0	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.1935483870967742	0.12903225806451613	0.0967741935483871	0.0967741935483871	0.12903225806451613	-8.311978578571429	-6.5928514619032255	-6.5928514619032255	414.0	573.5454545454545	305.77777777777777	356.45454545454544	383.2857142857143	11.642857142857142	6.25	0.0	3.5714285714285716	2.89	2.89	2.200967741935484	2.343516129032258	2.343516129032258	sentence_eng_Latn
3	1.0	2.0	23.0	2.0		23.0	11.5	9.192388155425117	1.0	0.0	5.260869565217392	2.43492376778837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8260869565217391	0.0	0.043478260869565216	0.0	-15.923972725875	-15.593371541878946	-15.593371541878946						0.0									sentence_rus_Cyrl
4	1.0	1.0	10.0	1.0		10.0	10.0		1.1	0.31622776601683794	3.3	1.888562063228706	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.1	0.0	0.0	-11.34918231964	-7.84528319835	-7.84528319835	236.0	576.75	565.3333333333334	550.5	514.6666666666666	6.8	6.666666666666667	3.0	5.75			3.3088888888888888	2.211333333333333	2.211333333333333	sentence_eng_Latn
4	1.0	1.0	10.0	1.0		10.0	10.0		1.0	0.0	4.7	3.020301677353145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.1	0.0	0.1	-16.09717617034	-15.742935816433333	-15.742935816433333						0.0									sentence_rus_Cyrl
